Location Id,Airbnb_Listings,Long_Term_Rental_Properties,Total_Properties,Airbnb_Percentage
230600.0,0,87,87,0.0
230500.0,0,195,195,0.0
251800.0,0,237,237,0.0
230400.0,0,30,30,0.0
230300.0,0,57,57,0.0
230200.0,0,90,90,0.0
230100.0,0,111,111,0.0
230000.0,0,39,39,0.0
229900.0,0,90,90,0.0
229800.0,0,93,93,0.0
229600.0,0,135,135,0.0
229500.0,0,60,60,0.0
229300.0,0,75,75,0.0
229200.0,0,12,12,0.0
229100.0,0,30,30,0.0
229000.0,0,36,36,0.0
228800.0,0,6,6,0.0
228500.0,0,33,33,0.0
228400.0,0,21,21,0.0
228300.0,0,63,63,0.0
228200.0,0,45,45,0.0
224400.0,0,18,18,0.0
224200.0,0,27,27,0.0
217200.0,0,30,30,0.0
220400.0,0,27,27,0.0
220100.0,0,36,36,0.0
220000.0,0,6,6,0.0
219800.0,0,6,6,0.0
219600.0,0,69,69,0.0
219400.0,0,15,15,0.0
219300.0,0,12,12,0.0
219100.0,0,18,18,0.0
219000.0,0,15,15,0.0
218900.0,0,42,42,0.0
218700.0,0,36,36,0.0
218600.0,0,51,51,0.0
218500.0,0,90,90,0.0
218400.0,0,57,57,0.0
218300.0,0,108,108,0.0
218200.0,0,12,12,0.0
218100.0,0,75,75,0.0
218000.0,0,60,60,0.0
217900.0,0,39,39,0.0
217800.0,0,75,75,0.0
217600.0,0,54,54,0.0
217500.0,0,63,63,0.0
217400.0,0,135,135,0.0
217300.0,0,90,90,0.0
220300.0,0,51,51,0.0
220500.0,0,6,6,0.0
224100.0,0,9,9,0.0
220700.0,0,15,15,0.0
224000.0,0,48,48,0.0
223800.0,0,36,36,0.0
223700.0,0,6,6,0.0
223600.0,0,51,51,0.0
223400.0,0,6,6,0.0
223200.0,0,6,6,0.0
223100.0,0,60,60,0.0
222900.0,0,6,6,0.0
222800.0,0,6,6,0.0
222700.0,0,36,36,0.0
222600.0,0,51,51,0.0
222500.0,0,51,51,0.0
222400.0,0,6,6,0.0
222200.0,0,21,21,0.0
221900.0,0,87,87,0.0
221800.0,0,51,51,0.0
221700.0,0,45,45,0.0
221600.0,0,45,45,0.0
221400.0,0,27,27,0.0
221300.0,0,12,12,0.0
221000.0,0,18,18,0.0
220900.0,0,18,18,0.0
220800.0,0,12,12,0.0
251700.0,0,483,483,0.0
301200.0,0,42,42,0.0
251900.0,0,114,114,0.0
342700.0,0,18,18,0.0
345800.0,0,18,18,0.0
345700.0,0,27,27,0.0
345600.0,0,39,39,0.0
345500.0,0,57,57,0.0
345400.0,0,39,39,0.0
345200.0,0,6,6,0.0
345100.0,0,12,12,0.0
345000.0,0,105,105,0.0
344900.0,0,99,99,0.0
344800.0,0,30,30,0.0
344700.0,0,6,6,0.0
344500.0,0,39,39,0.0
344400.0,0,6,6,0.0
344300.0,0,6,6,0.0
344200.0,0,39,39,0.0
344100.0,0,18,18,0.0
344000.0,0,39,39,0.0
343900.0,0,36,36,0.0
343700.0,0,9,9,0.0
343400.0,0,6,6,0.0
343300.0,0,6,6,0.0
346200.0,0,18,18,0.0
346400.0,0,9,9,0.0
346600.0,0,111,111,0.0
347900.0,0,69,69,0.0
348900.0,0,438,438,0.0
348800.0,0,60,60,0.0
348700.0,0,120,120,0.0
348600.0,0,21,21,0.0
348400.0,0,246,246,0.0
348300.0,0,66,66,0.0
348200.0,0,42,42,0.0
348100.0,0,27,27,0.0
348000.0,0,6,6,0.0
347800.0,0,150,150,0.0
346700.0,0,195,195,0.0
347700.0,0,132,132,0.0
347500.0,0,12,12,0.0
347400.0,0,36,36,0.0
347300.0,0,6,6,0.0
347200.0,0,72,72,0.0
347100.0,0,63,63,0.0
347000.0,0,57,57,0.0
346900.0,0,63,63,0.0
346800.0,0,69,69,0.0
342800.0,0,33,33,0.0
342200.0,0,6,6,0.0
349200.0,0,12,12,0.0
342000.0,0,24,24,0.0
338200.0,0,57,57,0.0
338100.0,0,21,21,0.0
337900.0,0,24,24,0.0
337800.0,0,36,36,0.0
337500.0,0,39,39,0.0
337400.0,0,33,33,0.0
337300.0,0,24,24,0.0
337100.0,0,12,12,0.0
336900.0,0,48,48,0.0
336800.0,0,15,15,0.0
336700.0,0,12,12,0.0
336300.0,0,6,6,0.0
336200.0,0,27,27,0.0
336100.0,0,114,114,0.0
336000.0,0,114,114,0.0
335900.0,0,42,42,0.0
335800.0,0,6,6,0.0
335700.0,0,24,24,0.0
335600.0,0,6,6,0.0
335500.0,0,447,447,0.0
335400.0,0,18,18,0.0
338300.0,0,42,42,0.0
338400.0,0,42,42,0.0
